"datetime","excel_datetime_code","excel_day","excel_time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"12/1/2012 0:00","41244","41244","0","1.317","-4.257","82.6","0.1811","2.503","-4.318","83.2","0.1928","0.825","-3.986","87.6","0.2705"
"12/1/2012 1:00","41244.04167","41244","0.041666667","1.289","-3.627","83.5","0.1811","2.45","-3.687","84.3","0.1928","0.825","-2.947","89","0.2705"
"12/1/2012 2:00","41244.08333","41244","0.083333333","1.289","-2.742","85.3","0.1819","2.423","-2.8","86.5","0.1928","0.852","-2.45","91.4","0.2712"
"12/1/2012 3:00","41244.125","41244","0.125","1.289","-3.449","84.7","0.1811","2.423","-3.568","85.5","0.1928","0.88","-3.124","90.2","0.2705"
"12/1/2012 4:00","41244.16667","41244","0.166666667","1.289","-4.046","83.4","0.1811","2.396","-4.046","84","0.192","0.88","-3.717","88.5","0.2705"
"12/1/2012 5:00","41244.20833","41244","0.208333333","1.262","-4.137","83.3","0.1811","2.37","-4.167","84","0.1928","0.907","-3.807","88.4","0.2705"
"12/1/2012 6:00","41244.25","41244","0.25","1.262","-3.926","82.6","0.1819","2.343","-3.926","82.9","0.1928","0.907","-3.538","87","0.2705"
"12/1/2012 7:00","41244.29167","41244","0.291666667","1.262","-3.866","81.2","0.1819","2.316","-3.866","81.6","0.1928","0.907","-3.508","85.4","0.2705"
"12/1/2012 8:00","41244.33333","41244","0.333333333","1.235","-3.568","80.8","0.1819","2.316","-3.627","81.1","0.1928","0.907","-3.212","84.7","0.2705"
"12/1/2012 9:00","41244.375","41244","0.375","1.235","-2.683","81.1","0.1819","2.289","-2.976","82.1","0.1928","0.934","-2.421","85.7","0.2698"
"12/1/2012 10:00","41244.41667","41244","0.416666667","1.235","-1.699","81.8","0.1819","2.262","-2.102","83.3","0.1928","0.962","-1.441","86.8","0.2698"
"12/1/2012 11:00","41244.45833","41244","0.458333333","1.235","-0.817","82.8","0.1826","2.289","-1.213","84.7","0.1928","0.989","-0.535","88.6","0.2705"
"12/1/2012 12:00","41244.5","41244","0.5","1.262","-0.227","83.5","0.1833","2.289","-0.62","85.7","0.1928","1.017","-0.143","89.3","0.2712"
"12/1/2012 13:00","41244.54167","41244","0.541666667","1.262","0.273","86","0.1848","2.343","-0.004","88.2","0.1928","1.044","0.329","92.7","0.2712"
"12/1/2012 14:00","41244.58333","41244","0.583333333","1.289","0.852","87.9","0.1862","2.37","0.495","90.2","0.1928","1.071","0.989","94.7","0.2719"
"12/1/2012 15:00","41244.625","41244","0.625","1.317","1.153","88.4","0.1862","2.423","0.88","90.8","0.1928","1.099","1.235","95.3","0.2719"
"12/1/2012 16:00","41244.66667","41244","0.666666667","1.371","1.425","88.7","0.1862","2.477","1.208","91","0.1928","1.153","1.534","95.5","0.2719"
"12/1/2012 17:00","41244.70833","41244","0.708333333","1.398","1.859","89.3","0.1884","2.53","1.534","91.4","0.1935","1.208","1.913","96.2","0.2727"
"12/1/2012 18:00","41244.75","41244","0.75","1.453","2.182","89.7","0.1891","2.61","2.155","91.9","0.1935","1.317","2.45","96.7","0.2727"
"12/1/2012 19:00","41244.79167","41244","0.791666667","1.507","2.903","90.1","0.1891","2.69","2.77","92.1","0.1935","1.48","3.089","96.9","0.2727"
