"datetime","excel_code","day","time","field_soil_temp_c","field_air_temp_c","field_rh","field_soil_wc","forest_soil_temp_c","forest_air_temp_c","forest_rh","forest_soil_wc","pond_soil_temp_c","pond_air_temp_c","pond_rh","pond_soil_wc"
"2017-02-01 0:00","42767","42767","0","0.024","-3.035","94.7","0.1594","0.852","-3.035","92.5","0.155","NA","NA","NA","NA"
"2017-02-01 1:00","42767.04167","42767","0.041666667","0.024","-3.479","95","0.1594","0.852","-3.39","92.5","0.155","NA","NA","NA","NA"
"2017-02-01 2:00","42767.08333","42767","0.083333333","0.024","-3.212","95.2","0.1586","0.852","-3.271","92.4","0.155","NA","NA","NA","NA"
"2017-02-01 3:00","42767.125","42767","0.125","0.024","-1.842","95.2","0.1579","0.852","-2.16","92","0.155","NA","NA","NA","NA"
"2017-02-01 4:00","42767.16667","42767","0.166666667","0.024","-1.356","90.8","0.1572","0.852","-1.613","87.9","0.155","NA","NA","NA","NA"
"2017-02-01 5:00","42767.20833","42767","0.208333333","0.024","-1.213","88.1","0.1564","0.852","-1.441","86.4","0.155","NA","NA","NA","NA"
"2017-02-01 6:00","42767.25","42767","0.25","0.024","-1.043","87.9","0.1564","0.852","-1.1","86.3","0.155","NA","NA","NA","NA"
"2017-02-01 7:00","42767.29167","42767","0.291666667","0.024","-1.641","85.7","0.1557","0.852","-1.556","84.1","0.155","NA","NA","NA","NA"
"2017-02-01 8:00","42767.33333","42767","0.333333333","0.024","-0.732","84.2","0.1557","0.852","-1.015","83","0.155","NA","NA","NA","NA"
"2017-02-01 9:00","42767.375","42767","0.375","0.024","-0.06","82.7","0.1557","0.852","-0.451","82.4","0.155","NA","NA","NA","NA"
"2017-02-01 10:00","42767.41667","42767","0.416666667","0.024","1.18","80","0.1572","0.852","0.522","81","0.155","NA","NA","NA","NA"
"2017-02-01 11:00","42767.45833","42767","0.458333333","0.024","2.423","74.6","0.1586","0.825","1.398","77.7","0.155","NA","NA","NA","NA"
"2017-02-01 12:00","42767.5","42767","0.5","0.024","1.534","72.6","0.1572","0.825","1.044","75.7","0.155","NA","NA","NA","NA"
"2017-02-01 13:00","42767.54167","42767","0.541666667","0.024","1.262","66.7","0.1564","0.852","0.934","70.2","0.155","NA","NA","NA","NA"
"2017-02-01 14:00","42767.58333","42767","0.583333333","0.024","2.877","64.2","0.1564","0.852","2.128","67.8","0.1557","NA","NA","NA","NA"
"2017-02-01 15:00","42767.625","42767","0.625","0.024","2.236","63.8","0.155","0.852","1.615","69.2","0.155","NA","NA","NA","NA"
"2017-02-01 16:00","42767.66667","42767","0.666666667","0.024","1.507","60","0.155","0.852","1.371","64.7","0.155","NA","NA","NA","NA"
"2017-02-01 17:00","42767.70833","42767","0.708333333","0.024","0.934","57.9","0.155","0.852","0.825","62.5","0.155","NA","NA","NA","NA"
"2017-02-01 18:00","42767.75","42767","0.75","0.024","0.66","59.8","0.1557","0.852","0.522","64.5","0.155","NA","NA","NA","NA"
"2017-02-01 19:00","42767.79167","42767","0.791666667","0.024","0.163","64.6","0.1557","0.852","0.079","69.5","0.155","NA","NA","NA","NA"
"2017-02-01 20:00","42767.83333","42767","0.833333333","0.024","-0.032","69.6","0.1557","0.852","-0.088","72.7","0.155","NA","NA","NA","NA"
"2017-02-01 21:00","42767.875","42767","0.875","0.024","-0.817","74","0.1557","0.852","-0.845","76.9","0.155","NA","NA","NA","NA"
"2017-02-01 22:00","42767.91667","42767","0.916666667","0.024","-0.817","80.5","0.1557","0.852","-0.958","82.6","0.155","NA","NA","NA","NA"
"2017-02-01 23:00","42767.95833","42767","0.958333333","0.024","-1.785","81.1","0.155","0.852","-1.67","81.9","0.155","NA","NA","NA","NA"
"2017-02-02 0:00","42768","42768","0","0.024","-2.45","83.3","0.155","0.88","-2.392","83.8","0.155","NA","NA","NA","NA"
"2017-02-02 1:00","42768.04167","42768","0.041666667","0.024","-2.712","81.3","0.1543","0.88","-2.742","80.2","0.155","NA","NA","NA","NA"
"2017-02-02 2:00","42768.08333","42768","0.083333333","0.024","-3.36","73.9","0.1543","0.88","-3.271","74.1","0.155","NA","NA","NA","NA"
"2017-02-02 3:00","42768.125","42768","0.125","0.024","-4.046","75.9","0.1535","0.88","-3.627","75.8","0.155","NA","NA","NA","NA"
"2017-02-02 4:00","42768.16667","42768","0.166666667","0.024","-3.807","76.3","0.1528","0.88","-3.747","75.7","0.155","NA","NA","NA","NA"
"2017-02-02 5:00","42768.20833","42768","0.208333333","0.024","-4.137","74.8","0.1521","0.88","-3.986","74.5","0.155","NA","NA","NA","NA"
"2017-02-02 6:00","42768.25","42768","0.25","0.024","-4.56","75.2","0.1514","0.88","-4.318","74.9","0.155","NA","NA","NA","NA"
"2017-02-02 7:00","42768.29167","42768","0.291666667","0.024","-4.621","76.1","0.1499","0.88","-4.439","75","0.155","NA","NA","NA","NA"
"2017-02-02 8:00","42768.33333","42768","0.333333333","0.024","-4.227","74.2","0.1485","0.88","-4.318","73.2","0.155","NA","NA","NA","NA"
"2017-02-02 9:00","42768.375","42768","0.375","0.024","-3.836","67.8","0.1477","0.88","-4.076","68.3","0.155","NA","NA","NA","NA"
"2017-02-02 10:00","42768.41667","42768","0.416666667","0.024","-2.654","61.9","0.1463","0.852","-3.39","65.4","0.155","NA","NA","NA","NA"
"2017-02-02 11:00","42768.45833","42768","0.458333333","0.024","-3.006","57.2","0.1448","0.852","-3.419","61.7","0.155","NA","NA","NA","NA"
"2017-02-02 12:00","42768.5","42768","0.5","0.024","-3.301","57.9","0.1448","0.852","-3.598","62.3","0.155","NA","NA","NA","NA"
"2017-02-02 13:00","42768.54167","42768","0.541666667","0.024","-4.076","58.1","0.1441","0.852","-4.408","62.6","0.1543","NA","NA","NA","NA"
